Joule calculated,filename
222.6852,http1921681928000with_prefixwwwcriteocomwwwcriteocom
120.25000800000001,http1921681928000with_prefixwwwcriteocomwwwcriteocom
124.242984,http1921681928000with_prefixwwwcriteocomwwwcriteocom
144.822168,http1921681928000with_prefixwwwcriteocomwwwcriteocom
144.36144,http1921681928000with_prefixwwwcriteocomwwwcriteocom
140.982768,http1921681928000with_prefixwwwcriteocomwwwcriteocom
125.31801599999999,http1921681928000with_prefixwwwcriteocomwwwcriteocom
121.78576799999999,http1921681928000with_prefixwwwcriteocomwwwcriteocom
126.23947199999999,http1921681928000with_prefixwwwcriteocomwwwcriteocom
108.885384,http1921681928000without_prefixwwwcosmopolitancomwwwcosmopolitancom
125.47159199999999,http1921681928000without_prefixwwwcosmopolitancomwwwcosmopolitancom
126.546624,http1921681928000without_prefixwwwcosmopolitancomwwwcosmopolitancom
126.393048,http1921681928000without_prefixwwwcosmopolitancomwwwcosmopolitancom
126.7002,http1921681928000without_prefixwwwcosmopolitancomwwwcosmopolitancom
129.618144,http1921681928000without_prefixwwwcosmopolitancomwwwcosmopolitancom
125.16443999999998,http1921681928000without_prefixwwwcosmopolitancomwwwcosmopolitancom
127.160928,http1921681928000without_prefixwwwcosmopolitancomwwwcosmopolitancom
84.4668,http1921681928000without_prefixwwwcosmopolitancomwwwcosmopolitancom
113.64623999999999,http1921681928000without_prefixwwwcosmopolitancomwwwcosmopolitancom
118.714248,http1921681928000without_prefixwwwcosmopolitancomwwwcosmopolitancom
124.089408,http1921681928000without_prefixwwwcosmopolitancomwwwcosmopolitancom
123.014376,http1921681928000without_prefixwwwcosmopolitancomwwwcosmopolitancom
130.078872,http1921681928000without_prefixwwwcosmopolitancomwwwcosmopolitancom
127.007352,http1921681928000without_prefixwwwcosmopolitancomwwwcosmopolitancom
124.55013600000001,http1921681928000without_prefixwwwcriteocomwwwcriteocom
120.55716000000001,http1921681928000without_prefixwwwcriteocomwwwcriteocom
123.935832,http1921681928000without_prefixwwwcriteocomwwwcriteocom
193.50576,http1921681928000without_prefixwwwcriteocomwwwcriteocom
123.935832,http1921681928000without_prefixwwwcriteocomwwwcriteocom
122.400072,http1921681928000without_prefixwwwcriteocomwwwcriteocom
121.47861599999999,http1921681928000without_prefixwwwcriteocomwwwcriteocom
129.77172,http1921681928000without_prefixwwwcriteocomwwwcriteocom
122.707224,http1921681928000without_prefixwwwcriteocomwwwcriteocom
182.75544,http1921681928000without_prefixwwwcriteocomwwwcriteocom
124.089408,http1921681928000without_prefixwwwcriteocomwwwcriteocom
125.01086399999998,http1921681928000without_prefixwwwcriteocomwwwcriteocom
120.71073600000001,http1921681928000without_prefixwwwcriteocomwwwcriteocom
122.246496,http1921681928000without_prefixwwwcriteocomwwwcriteocom
105.353136,http1921681928000without_prefixwwwcriteocomwwwcriteocom
139.907736,http1921681928000with_prefixwwwdropboxcomwwwdropboxcom
234.97127999999998,http1921681928000with_prefixwwwdropboxcomwwwdropboxcom
